Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green Bay,Houston,Indianapolis,Jacksonville,Kansas City,Miami,Minnesota,N.Y. Giants,N.Y. Jets,New England,New Orleans,Oakland,Philadelphia,Pittsburgh,San Diego,San Francisco,Seattle,St. Louis,Tampa Bay,Tennessee,Washington
0,36,32,55,44,55,14,40,12,63,59,43,62,44,71,8,41,28,25,29,17,80,39,9,49,43,41,34,78,21,12,8,8
1,44,41,45,50,64,9,48,6,68,62,35,72,31,61,6,50,30,18,27,23,81,31,4,41,37,46,42,66,32,5,19,5
2,61,57,29,39,74,5,57,9,82,77,24,83,34,45,12,36,20,27,16,42,90,15,7,27,48,37,35,55,18,11,17,10
3,70,77,17,59,74,3,70,3,63,86,13,88,39,49,11,29,10,34,21,28,92,9,12,42,60,25,22,59,11,7,11,7
4,55,85,32,38,80,4,83,2,48,90,10,94,31,57,9,24,5,28,42,44,94,14,8,29,43,30,13,65,20,3,12,10
5,69,90,15,45,81,9,89,4,34,94,4,96,17,75,6,14,5,29,50,48,97,8,5,36,56,20,8,56,17,4,9,8
6,60,82,7,29,92,5,96,2,37,96,4,97,28,70,3,8,8,40,36,57,99,14,6,47,72,15,15,42,19,5,5,5
7,63,83,6,17,95,4,98,1,23,97,1,96,26,60,12,17,17,46,45,60,99,22,15,39,63,6,5,48,21,2,5,7
8,68,63,9,21,97,1,99,1,19,99,1,95,32,55,13,29,17,53,36,46,99,30,24,45,48,3,1,54,26,4,3,9
9,73,55,9,28,99,3,99,1,5,98,1,93,24,70,7,29,8,66,45,50,99,15,16,59,56,1,2,58,20,2,5,6
10,92,61,2,35,99,14,99,1,3,94,1,85,39,57,11,56,14,83,46,25,99,5,7,44,58,1,2,37,6,5,2,17
